State/UT,Year,Name of Fairs and Festivals,Amount Sanctioned,Amount Released
Tripura,2019-20,Diwali Mela,15,15
Tripura,2020-21,Bharat Bangla Festival,25,25
Tripura,2022-23,Neermahal Festival,10,10
Tripura,2022-23,Diwali Festival,5,5
Tripura,2022-23,Chabimura Festival,5,5
Tripura,2023-24,Neermahal Festival,9.8,9.8
Tripura,2023-24,Diwali Festival,9.55,9.55
Tripura,2023-24,Chabimura Festival,3,3
Tamil Nadu,2015-16,"Indian Dance Festival at Mamallapuram, Tamilnadu",8,8
Tamil Nadu,2016-17,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2017-18,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2018-19,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2019-20,Indian Dance Festival,25,25
Tamil Nadu,2019-20,Kumari Festival,10,10
Tamil Nadu,2019-20,Tourism Cultural Festival,15,15
Tamil Nadu,2021-22,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2022-23,India Dance Festival at Mamallapuram,25,25
Telangana,2014-15,Kakatiya Festival at Warangal,25,25
Telangana,2014-15,Golconda Festival at Hyderabad,25,25
Telangana,2017-18,3rd International Kite Festival and Golconda Masters Golf Championship at Hyderabad,45,45
Telangana,2018-19,Bathukamma Festival,25,25
Telangana,2018-19,4th International Kite Festival,25,25
Telangana,2019-20,Bathukamma Festival,25,25
Telangana,2019-20,Kite Festival,25,25
Telangana,2021-22,Bathukamma Festival,25,25
Telangana,2021-22,Medaram Jatara at Munugu,25,25
Uttarakhand,2017-18,Yoga Festival,25,25
Uttarakhand,2018-19,Tehri Festivaland International Yoga Festival,50,50
Uttarakhand,2019-20,International Yoga Festival and Tehri Festival,50,50
Uttarakhand,2022-23,International Yoga Festival,25,25
Uttar Pradesh,2016-17,"Ganga Mahotsav, Varanasi",25,25
Uttar Pradesh,2016-17,"Shilpotsav, Noida",30,30
Uttar Pradesh,2017-18,"Shilpotsav, Noida",25,25
Uttar Pradesh,2017-18,"Organizing a two day seminar on Cultural/ Tourism Development at Naimisharanya, Sitapur",25,25
Uttar Pradesh,2018-19,"Shilpotsav, Noida",30,30
Uttar Pradesh,2018-19,Taj Mahotsav,25,25
Uttar Pradesh,2018-19,Ganga Mahotsav,25,25
Uttar Pradesh,2019-20,Ganga Mahotsav-Varanasi,15,15
Uttar Pradesh,2019-20,"Deepotsav, Ayodhya",25,25
Uttar Pradesh,2019-20,"Taj Mahotsav, Agra",10,10
Uttar Pradesh,2022-23,Firozabad Mahotsav,25,25
Uttar Pradesh,2023-24,Firozabad Mahotsav,25,25
Uttar Pradesh,2023-24,Hathras Mahotsav,25,25
